Number of threads, time
18,3310
18,3172
18,3326
18,3093
18,3472
18,4891
18,3457
18,4381
18,3320
18,3164
18,4525
18,5585
18,3072
18,3647
18,4936
18,5721
18,5357
18,5807
1,101008
2,41969
2,49684
4,15725
4,20296
4,18017
4,23980
6,9294
6,13853
6,17134
6,15148
6,17421
6,16760
8,6879
8,7925
8,10225
8,7754
8,9751
8,12916
8,11753
8,12887
10,7241
10,9734
10,8604
10,9454
10,5781
10,8295
10,6386
10,5551
10,7525
10,7327
12,4693
12,6093
12,4677
12,7977
12,7013
12,9146
12,4895
12,6096
12,5049
12,7652
12,9850
12,6603
14,4689
14,4978
14,6088
14,4541
14,4427
14,4000
14,6301
14,4463
14,4971
14,4307
14,7927
14,7603
14,7602
14,7767
16,3558
16,3604
16,3512
16,3480
16,5739
16,3510
16,4593
16,3530
16,4865
16,3605
16,4128
16,3544
16,3739
16,3484
16,3656
16,5257
18,3558
18,3333
18,3306
18,3220
18,3079
18,5419
18,3509
18,3243
18,3130
18,3135
18,4348
18,3385
18,3165
18,3073
18,3530
18,3236
18,5562
18,4524
20,2798
20,3191
20,2845
20,2776
20,2815
20,2981
20,2875
20,3638
20,2847
20,2766
20,3047
20,5131
20,4037
20,2901
20,2785
20,2969
20,2807
20,2788
20,5075
20,5309
22,2630
22,2585
22,3158
22,2965
22,2826
22,2585
22,2595
22,2562
22,4046
22,2736
22,2571
22,2563
22,2565
22,2946
22,2808
22,2591
22,2584
22,2569
22,4676
22,2543
22,2636
22,4374
24,2455
24,2618
24,2561
24,2454
24,2560
24,2363
24,2375
24,2352
24,2347
24,2852
24,2398
24,2326
24,2385
24,2565
24,2419
24,2445
24,2372
24,2545
24,2328
24,2370
24,2375
24,2417
24,3194
24,2363
26,2301
26,2532
26,2364
26,2234
26,2180
26,2173
26,2183
26,2301
26,2212
26,2238
26,2269
26,2218
26,2214
26,3040
26,2186
26,2385
26,2144
26,2163
26,4219
26,2312
26,3479
26,2203
26,2233
26,2231
26,2919
26,4184
28,2243
28,2105
28,2460
