Number of threads, time
1,21927
2,11107
2,11753
4,5251
4,5569
4,5437
4,5783
6,3473
6,3479
6,3738
6,3458
6,3440
6,3902
8,2950
8,2975
8,3243
8,3383
8,3257
8,2998
8,3200
8,2777
10,2560
10,2778
10,2591
10,2547
10,2782
10,2627
10,2458
10,2310
10,2362
10,2085
12,2443
12,2551
12,2505
12,2933
12,2550
12,2486
12,2464
12,3189
12,2287
12,2180
12,2049
12,2308
14,2523
14,2728
14,2772
14,2868
14,2732
14,2897
14,3244
14,2497
14,2477
14,2267
14,3270
14,1838
14,2481
14,2093
16,2731
16,2671
16,2693
16,2970
16,2942
16,2858
16,2763
16,2695
16,2954
16,2498
16,2351
16,1991
16,1125
16,1555
16,1947
16,1756
18,2693
18,2953
18,3137
18,3595
18,3385
18,3447
18,3696
18,3448
18,3416
18,3197
18,2688
18,3027
18,1497
18,2549
18,1345
18,2537
18,1683
18,1713
20,1578
20,1713
20,1875
20,1788
20,1981
20,1961
20,1830
20,1795
20,1720
20,1546
20,1305
20,1847
20,1259
20,1137
20,1117
20,1223
20,913
20,981
20,1286
20,1055
22,1397
22,1570
22,1388
22,1697
22,1718
22,1775
22,1956
22,1677
22,1090
22,1556
22,1425
22,1045
22,1103
22,1152
22,1398
22,1062
22,1086
22,1168
22,1058
22,992
22,1258
22,1150
24,1327
24,1519
24,1599
24,1642
24,1769
24,1497
24,1733
24,1484
24,810
24,758
24,1398
24,1284
24,943
24,914
24,1027
24,1078
24,1102
24,1293
24,1293
24,1238
24,1014
24,1211
24,1044
24,1072
26,1279
26,1437
26,1512
26,1722
26,1662
26,1577
26,1439
26,855
26,1391
26,1313
26,992
26,917
26,1131
26,949
26,882
26,721
26,933
26,902
26,805
26,1175
26,1075
26,916
26,1286
26,1054
26,935
26,879
28,1294
28,1437
28,1470
28,1537
28,1566
28,1347
28,1657
28,1587
28,1263
28,1196
28,1451
28,1168
28,975
28,1068
28,1201
28,853
28,872
28,1006
28,863
28,605
28,1298
28,952
28,1144
28,959
28,1131
28,995
28,1128
28,1041
30,1062
30,1122
30,1283
30,1248
30,1205
30,1333
30,1321
30,1043
30,628
30,1112
30,611
30,946
30,757
30,878
30,915
30,1086
30,907
30,1033
30,891
30,917
30,849
30,931
30,817
30,575
30,961
30,1321
30,901
30,807
30,743
30,832
32,820
32,917
32,1038
32,1075
32,1034
32,936
32,1116
32,709
32,615
32,955
32,740
32,725
32,872
32,756
32,624
32,728
32,652
32,695
32,688
32,706
32,670
32,749
32,742
32,727
32,720
32,892
32,919
32,868
32,721
32,798
32,870
32,788
34,1238
34,1622
34,1641
34,1594
34,1717
34,1688
34,1728
34,701
34,767
34,1484
34,1448
34,1304
34,924
34,771
34,768
34,701
34,780
34,973
34,823
34,736
34,722
34,682
34,706
34,798
34,838
34,891
34,761
34,1098
34,803
34,1186
34,1260
34,1107
34,1202
34,955
36,807
36,946
36,993
36,1171
36,1036
36,963
36,903
36,664
36,1128
36,823
36,624
36,569
36,683
36,630
36,803
36,788
36,954
36,665
36,943
36,808
36,652
36,681
36,692
36,821
36,664
36,671
36,608
36,1157
36,586
36,995
36,719
36,776
36,872
36,929
36,1075
36,836
38,717
38,872
38,879
38,832
38,786
38,721
38,640
38,632
38,523
38,624
38,735
38,572
38,662
38,573
38,569
38,600
38,712
38,637
38,613
38,546
38,585
38,588
38,561
38,513
38,536
38,580
38,552
38,570
38,588
38,521
38,523
38,660
38,540
38,872
38,948
38,721
38,806
38,856
40,566
40,644
40,680
