Number of threads, time
1,7229
2,2831
2,2781
4,1515
4,1632
4,1514
4,1449
6,1051
6,1039
6,995
6,1327
6,1224
6,1833
8,831
8,923
8,886
8,763
8,816
8,1143
8,754
8,789
10,694
10,776
10,626
10,648
10,737
10,630
10,618
10,690
10,609
10,657
12,605
12,601
12,578
12,666
12,704
12,547
12,667
12,532
12,574
12,743
12,512
12,722
14,558
14,558
14,547
14,497
14,704
14,561
14,469
14,556
14,491
14,553
14,501
14,437
14,551
14,875
16,497
16,671
16,522
16,457
16,413
16,525
16,531
16,501
16,434
16,459
16,422
16,513
16,764
16,449
16,449
16,461
18,472
18,482
18,511
18,415
18,525
18,501
18,426
18,468
18,433
18,367
18,465
18,431
18,486
18,369
18,449
18,400
18,684
18,354
20,427
20,458
20,383
20,447
20,331
20,339
20,493
20,380
20,358
20,414
20,330
20,385
20,334
20,334
20,371
20,369
20,329
20,366
20,403
20,385
22,369
22,328
22,365
22,430
22,330
22,330
22,391
22,445
22,385
22,374
22,365
22,303
22,296
22,389
22,317
22,306
22,377
22,333
22,430
22,388
22,363
22,357
24,326
24,316
24,362
24,388
24,324
24,306
24,410
24,332
24,319
24,280
24,366
24,382
24,278
24,279
24,304
24,326
24,354
24,312
24,303
24,344
24,296
24,315
24,445
24,335
26,304
26,292
26,308
26,359
26,306
26,283
26,304
26,316
26,357
26,299
26,303
26,287
26,270
26,270
26,258
26,316
26,336
26,279
26,313
26,300
26,315
26,260
26,323
26,305
26,282
26,330
28,295
28,296
28,290
28,325
28,295
28,294
28,269
28,337
28,262
28,273
28,246
28,263
28,270
28,238
28,245
28,246
28,273
28,283
28,293
28,282
28,257
28,256
28,228
28,245
28,291
28,309
28,354
28,317
30,263
30,263
30,261
30,256
30,290
30,251
30,241
30,294
30,284
30,252
30,258
30,250
30,228
30,270
30,256
30,225
30,245
30,231
30,246
30,293
30,287
30,248
30,283
30,255
30,241
30,254
30,282
30,288
30,262
30,310
32,246
32,294
32,282
32,242
32,257
32,242
32,242
32,261
32,274
32,231
32,229
32,242
32,244
32,206
32,243
32,208
32,212
32,231
32,237
32,203
32,273
32,228
32,237
32,251
32,243
32,222
32,238
32,237
32,268
32,276
32,230
32,277
34,230
34,258
34,246
34,251
34,261
34,250
34,234
34,224
34,232
34,257
34,246
34,239
34,208
34,229
34,230
34,205
34,224
34,191
34,228
34,210
34,226
34,244
34,256
34,231
34,218
34,254
34,221
34,229
34,225
34,234
34,224
34,248
34,248
34,294
36,220
36,258
36,260
36,272
36,242
36,242
36,202
36,212
36,236
36,237
36,248
36,230
36,217
36,215
36,284
36,213
36,212
36,218
36,192
36,193
36,211
36,209
36,236
36,224
36,237
36,221
36,228
36,221
36,210
36,210
36,217
36,224
36,238
36,214
36,202
36,307
38,207
38,246
38,263
38,257
38,214
38,229
38,221
38,236
38,207
38,184
38,220
38,197
38,254
38,203
38,185
38,201
38,296
38,203
38,188
38,181
38,191
38,202
