Completion time,time
Completion time,62013
Completion time (no IO),59900
Completion time,61022
Completion time (no IO),58899
Completion time,61198
Completion time (no IO),59183
Completion time,60817
Completion time (no IO),58745
Completion time,62917
Completion time (no IO),60854
Completion time,60720
Completion time (no IO),58764
Completion time,61799
Completion time (no IO),59831
Completion time,60244
Completion time (no IO),58320
Completion time,63596
Completion time (no IO),61636
Completion time,62361
Completion time (no IO),60423
Completion time,66464
Completion time (no IO),60262
Completion time,60880
Completion time (no IO),58887
Completion time,61382
Completion time (no IO),59449
Completion time,65528
Completion time (no IO),63612
Completion time,64334
Completion time (no IO),62404
Completion time,60614
Completion time (no IO),58722
Completion time,64006
Completion time (no IO),62102
Completion time,61057
Completion time (no IO),59162
Completion time,65206
Completion time (no IO),63285
Completion time,61388
Completion time (no IO),59463
Completion time,60606
Completion time (no IO),58692
Completion time,60557
Completion time (no IO),58644
Completion time,61141
Completion time (no IO),59240
Completion time,98607
Completion time (no IO),96696
Completion time,59382
Completion time (no IO),57468
Completion time,65558
Completion time (no IO),63548
Completion time,63924
Completion time (no IO),62009
Completion time,62448
Completion time (no IO),60478
Completion time,64763
Completion time (no IO),62790
Completion time,65043
Completion time (no IO),63089
Completion time,63042
Completion time (no IO),61114
Completion time,84855
Completion time (no IO),82930
Completion time,63689
Completion time (no IO),61603
Completion time,60135
Completion time (no IO),58172
Completion time,63123
Completion time (no IO),61292
Completion time,62928
Completion time (no IO),60943
Completion time,60667
Completion time (no IO),58712
Completion time,64190
Completion time (no IO),62254
Completion time,63015
Completion time (no IO),61097
Completion time,63710
Completion time (no IO),61784
Completion time,61501
Completion time (no IO),59518
Completion time,60304
Completion time (no IO),58414
Completion time,64983
Completion time (no IO),63039
Completion time,59755
Completion time (no IO),57892
Completion time,60110
Completion time (no IO),58184
Completion time,60208
Completion time (no IO),58273
Completion time,60889
Completion time (no IO),58953
Completion time,61945
Completion time (no IO),59999
Completion time,60223
Completion time (no IO),58289
Completion time,64887
Completion time (no IO),62917
