Completion time,threads,time
Completion time,1,7536220
Completion time (no IO),1,7366127
Completion time,1,7669808
Completion time (no IO),1,7472643
Completion time,1,7400611
Completion time (no IO),1,7230644
Completion time,1,7588856
Completion time (no IO),1,7393454
Completion time,1,7573611
Completion time (no IO),1,7403260
Completion time,2,4847001
Completion time (no IO),2,4672492
Completion time,2,4623157
Completion time (no IO),2,4448082
Completion time,2,4675800
Completion time (no IO),2,4500739
Completion time,2,4695196
Completion time (no IO),2,4519124
Completion time,2,4674237
Completion time (no IO),2,4498509
Completion time,4,3626363
Completion time (no IO),4,3430261
Completion time,4,3128573
Completion time (no IO),4,2953370
Completion time,4,3627620
Completion time (no IO),4,3432091
Completion time,4,3101554
Completion time (no IO),4,2927122
Completion time,4,3535770
Completion time (no IO),4,3360331
Completion time,6,2928351
Completion time (no IO),6,2733701
Completion time,6,2500534
Completion time (no IO),6,2326026
Completion time,6,3016249
Completion time (no IO),6,2821333
Completion time,6,2588040
Completion time (no IO),6,2415579
Completion time,6,2934977
Completion time (no IO),6,2737369
Completion time,8,2323518
Completion time (no IO),8,2146497
Completion time,8,2383550
Completion time (no IO),8,2209802
Completion time,8,2869000
Completion time (no IO),8,2672390
Completion time,8,2372096
Completion time (no IO),8,2194670
Completion time,8,2888143
Completion time (no IO),8,2688254
Completion time,10,2711834
Completion time (no IO),10,2516144
Completion time,10,2786575
Completion time (no IO),10,2608888
Completion time,10,2809387
Completion time (no IO),10,2609478
Completion time,10,2212591
Completion time (no IO),10,2037623
Completion time,10,2309594
Completion time (no IO),10,2135220
Completion time,12,2332144
Completion time (no IO),12,2152453
Completion time,12,2631982
Completion time (no IO),12,2434954
Completion time,12,2623267
Completion time (no IO),12,2426899
Completion time,12,2135637
Completion time (no IO),12,1978665
Completion time,12,2631921
Completion time (no IO),12,2438099
Completion time,14,2094758
Completion time (no IO),14,1936690
Completion time,14,2425987
Completion time (no IO),14,2240392
Completion time,14,2205245
Completion time (no IO),14,2017745
Completion time,14,2499377
Completion time (no IO),14,2309963
Completion time,14,2418318
Completion time (no IO),14,2231674
Completion time,16,1847009
Completion time (no IO),16,1688048
Completion time,16,2295617
Completion time (no IO),16,2105537
Completion time,16,2269514
Completion time (no IO),16,2082560
Completion time,16,1850272
Completion time (no IO),16,1691638
Completion time,16,2246159
Completion time (no IO),16,2054541
Completion time,18,1990640
Completion time (no IO),18,1831424
Completion time,18,2405617
Completion time (no IO),18,2218104
Completion time,18,2444488
Completion time (no IO),18,2257799
Completion time,18,1977361
Completion time (no IO),18,1818840
